Question,Answer
Are ghosts real?,"No one knows."
Can you predict the future?,"No, but I can guess!"
Which came first?,"The egg!"
Why is the sky blue?,"Because of sunlight scattering."
Do you believe in love?,"Yes, it’s beautiful."
Why do we dream?,"Your brain makes a movie."
What happens after death?,"No one knows for sure."
Can you read minds?,"No, just texts."
What’s your IQ?,"Hard to measure."
Why do people lie?,"Fear or protection."
What is happiness?,"Moments you enjoy."
What is love?,"A deep connection."
Will robots take over?,"No—we prefer helping!"
