Question,Answer
Where should I put my shampoo bottle?,You should place shampoo bottle in the dry/recyclable waste bin.
Can you tell me where to throw shampoo bottle?,You should place shampoo bottle in the dry/recyclable waste bin.
shampoo bottle disposal method?,You should place shampoo bottle in the dry/recyclable waste bin.
How should I throw away shampoo bottle?,You should place shampoo bottle in the dry/recyclable waste bin.
"Throwing out shampoo bottle, which bin?",You should place shampoo bottle in the dry/recyclable waste bin.
I need to discard shampoo bottle.,You should place shampoo bottle in the dry/recyclable waste bin.
Discard shampoo bottle.,You should place shampoo bottle in the dry/recyclable waste bin.
Where do I throw my milk carton?,You should place milk carton in the dry/recyclable waste bin.
How do I dispose of a milk carton?,You should place milk carton in the dry/recyclable waste bin.
Can I throw away milk carton in the trash?,You should place milk carton in the dry/recyclable waste bin.
Which bin does milk carton go into?,You should place milk carton in the dry/recyclable waste bin.
Is it okay to throw milk carton here?,You should place milk carton in the dry/recyclable waste bin.
Tell me how to get rid of milk carton.,You should place milk carton in the dry/recyclable waste bin.
What to do with old milk carton?,You should place milk carton in the dry/recyclable waste bin.
Help me dispose of milk carton.,You should place milk carton in the dry/recyclable waste bin.
Where does milk carton belong?,You should place milk carton in the dry/recyclable waste bin.
"I have a milk carton, where does it go?",You should place milk carton in the dry/recyclable waste bin.
Where should I put my milk carton?,You should place milk carton in the dry/recyclable waste bin.
Can you tell me where to throw milk carton?,You should place milk carton in the dry/recyclable waste bin.
milk carton disposal method?,You should place milk carton in the dry/recyclable waste bin.
How should I throw away milk carton?,You should place milk carton in the dry/recyclable waste bin.
"Throwing out milk carton, which bin?",You should place milk carton in the dry/recyclable waste bin.
I need to discard milk carton.,You should place milk carton in the dry/recyclable waste bin.
Discard milk carton.,You should place milk carton in the dry/recyclable waste bin.
Where do I throw my empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
How do I dispose of a empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
Can I throw away empty deodorant in the trash?,You should place empty deodorant in the dry/recyclable waste bin.
Which bin does empty deodorant go into?,You should place empty deodorant in the dry/recyclable waste bin.
Is it okay to throw empty deodorant here?,You should place empty deodorant in the dry/recyclable waste bin.
Tell me how to get rid of empty deodorant.,You should place empty deodorant in the dry/recyclable waste bin.
What to do with old empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
Help me dispose of empty deodorant.,You should place empty deodorant in the dry/recyclable waste bin.
Where does empty deodorant belong?,You should place empty deodorant in the dry/recyclable waste bin.
"I have a empty deodorant, where does it go?",You should place empty deodorant in the dry/recyclable waste bin.
Where should I put my empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
Can you tell me where to throw empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
empty deodorant disposal method?,You should place empty deodorant in the dry/recyclable waste bin.
How should I throw away empty deodorant?,You should place empty deodorant in the dry/recyclable waste bin.
"Throwing out empty deodorant, which bin?",You should place empty deodorant in the dry/recyclable waste bin.
I need to discard empty deodorant.,You should place empty deodorant in the dry/recyclable waste bin.
Discard empty deodorant.,You should place empty deodorant in the dry/recyclable waste bin.
Where do I throw my cereal box?,You should place cereal box in the dry/recyclable waste bin.
How do I dispose of a cereal box?,You should place cereal box in the dry/recyclable waste bin.
Can I throw away cereal box in the trash?,You should place cereal box in the dry/recyclable waste bin.
Which bin does cereal box go into?,You should place cereal box in the dry/recyclable waste bin.
Is it okay to throw cereal box here?,You should place cereal box in the dry/recyclable waste bin.
Tell me how to get rid of cereal box.,You should place cereal box in the dry/recyclable waste bin.
What to do with old cereal box?,You should place cereal box in the dry/recyclable waste bin.
Help me dispose of cereal box.,You should place cereal box in the dry/recyclable waste bin.
Where does cereal box belong?,You should place cereal box in the dry/recyclable waste bin.
"I have a cereal box, where does it go?",You should place cereal box in the dry/recyclable waste bin.
Where should I put my cereal box?,You should place cereal box in the dry/recyclable waste bin.
Can you tell me where to throw cereal box?,You should place cereal box in the dry/recyclable waste bin.
cereal box disposal method?,You should place cereal box in the dry/recyclable waste bin.
How should I throw away cereal box?,You should place cereal box in the dry/recyclable waste bin.
"Throwing out cereal box, which bin?",You should place cereal box in the dry/recyclable waste bin.
I need to discard cereal box.,You should place cereal box in the dry/recyclable waste bin.
Discard cereal box.,You should place cereal box in the dry/recyclable waste bin.
Where do I throw my wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
How do I dispose of a wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
Can I throw away wrapping paper in the trash?,You should place wrapping paper in the dry/recyclable waste bin.
Which bin does wrapping paper go into?,You should place wrapping paper in the dry/recyclable waste bin.
Is it okay to throw wrapping paper here?,You should place wrapping paper in the dry/recyclable waste bin.
Tell me how to get rid of wrapping paper.,You should place wrapping paper in the dry/recyclable waste bin.
What to do with old wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
Help me dispose of wrapping paper.,You should place wrapping paper in the dry/recyclable waste bin.
Where does wrapping paper belong?,You should place wrapping paper in the dry/recyclable waste bin.
"I have a wrapping paper, where does it go?",You should place wrapping paper in the dry/recyclable waste bin.
Where should I put my wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
Can you tell me where to throw wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
wrapping paper disposal method?,You should place wrapping paper in the dry/recyclable waste bin.
How should I throw away wrapping paper?,You should place wrapping paper in the dry/recyclable waste bin.
"Throwing out wrapping paper, which bin?",You should place wrapping paper in the dry/recyclable waste bin.
I need to discard wrapping paper.,You should place wrapping paper in the dry/recyclable waste bin.
Discard wrapping paper.,You should place wrapping paper in the dry/recyclable waste bin.
Where do I throw my plastic container?,You should place plastic container in the dry/recyclable waste bin.
How do I dispose of a plastic container?,You should place plastic container in the dry/recyclable waste bin.
Can I throw away plastic container in the trash?,You should place plastic container in the dry/recyclable waste bin.
Which bin does plastic container go into?,You should place plastic container in the dry/recyclable waste bin.
Is it okay to throw plastic container here?,You should place plastic container in the dry/recyclable waste bin.
Tell me how to get rid of plastic container.,You should place plastic container in the dry/recyclable waste bin.
What to do with old plastic container?,You should place plastic container in the dry/recyclable waste bin.
Help me dispose of plastic container.,You should place plastic container in the dry/recyclable waste bin.
Where does plastic container belong?,You should place plastic container in the dry/recyclable waste bin.
"I have a plastic container, where does it go?",You should place plastic container in the dry/recyclable waste bin.
Where should I put my plastic container?,You should place plastic container in the dry/recyclable waste bin.
Can you tell me where to throw plastic container?,You should place plastic container in the dry/recyclable waste bin.
plastic container disposal method?,You should place plastic container in the dry/recyclable waste bin.
How should I throw away plastic container?,You should place plastic container in the dry/recyclable waste bin.
"Throwing out plastic container, which bin?",You should place plastic container in the dry/recyclable waste bin.
I need to discard plastic container.,You should place plastic container in the dry/recyclable waste bin.
Discard plastic container.,You should place plastic container in the dry/recyclable waste bin.
Where do I throw my wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
How do I dispose of a wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
Can I throw away wine bottle in the trash?,You should place wine bottle in the dry/recyclable waste bin.
Which bin does wine bottle go into?,You should place wine bottle in the dry/recyclable waste bin.
Is it okay to throw wine bottle here?,You should place wine bottle in the dry/recyclable waste bin.
Tell me how to get rid of wine bottle.,You should place wine bottle in the dry/recyclable waste bin.
What to do with old wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
Help me dispose of wine bottle.,You should place wine bottle in the dry/recyclable waste bin.
Where does wine bottle belong?,You should place wine bottle in the dry/recyclable waste bin.
"I have a wine bottle, where does it go?",You should place wine bottle in the dry/recyclable waste bin.
Where should I put my wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
Can you tell me where to throw wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
wine bottle disposal method?,You should place wine bottle in the dry/recyclable waste bin.
How should I throw away wine bottle?,You should place wine bottle in the dry/recyclable waste bin.
"Throwing out wine bottle, which bin?",You should place wine bottle in the dry/recyclable waste bin.
I need to discard wine bottle.,You should place wine bottle in the dry/recyclable waste bin.
Discard wine bottle.,You should place wine bottle in the dry/recyclable waste bin.
Where do I throw my beer can?,You should place beer can in the dry/recyclable waste bin.
How do I dispose of a beer can?,You should place beer can in the dry/recyclable waste bin.
Can I throw away beer can in the trash?,You should place beer can in the dry/recyclable waste bin.
Which bin does beer can go into?,You should place beer can in the dry/recyclable waste bin.
Is it okay to throw beer can here?,You should place beer can in the dry/recyclable waste bin.
Tell me how to get rid of beer can.,You should place beer can in the dry/recyclable waste bin.
What to do with old beer can?,You should place beer can in the dry/recyclable waste bin.
Help me dispose of beer can.,You should place beer can in the dry/recyclable waste bin.
Where does beer can belong?,You should place beer can in the dry/recyclable waste bin.
"I have a beer can, where does it go?",You should place beer can in the dry/recyclable waste bin.
Where should I put my beer can?,You should place beer can in the dry/recyclable waste bin.
Can you tell me where to throw beer can?,You should place beer can in the dry/recyclable waste bin.
beer can disposal method?,You should place beer can in the dry/recyclable waste bin.
How should I throw away beer can?,You should place beer can in the dry/recyclable waste bin.
"Throwing out beer can, which bin?",You should place beer can in the dry/recyclable waste bin.
I need to discard beer can.,You should place beer can in the dry/recyclable waste bin.
Discard beer can.,You should place beer can in the dry/recyclable waste bin.
Where do I throw my soda can?,You should place soda can in the dry/recyclable waste bin.
How do I dispose of a soda can?,You should place soda can in the dry/recyclable waste bin.
Can I throw away soda can in the trash?,You should place soda can in the dry/recyclable waste bin.
Which bin does soda can go into?,You should place soda can in the dry/recyclable waste bin.
Is it okay to throw soda can here?,You should place soda can in the dry/recyclable waste bin.
Tell me how to get rid of soda can.,You should place soda can in the dry/recyclable waste bin.
What to do with old soda can?,You should place soda can in the dry/recyclable waste bin.
Help me dispose of soda can.,You should place soda can in the dry/recyclable waste bin.
Where does soda can belong?,You should place soda can in the dry/recyclable waste bin.
"I have a soda can, where does it go?",You should place soda can in the dry/recyclable waste bin.
Where should I put my soda can?,You should place soda can in the dry/recyclable waste bin.
Can you tell me where to throw soda can?,You should place soda can in the dry/recyclable waste bin.
soda can disposal method?,You should place soda can in the dry/recyclable waste bin.
How should I throw away soda can?,You should place soda can in the dry/recyclable waste bin.
"Throwing out soda can, which bin?",You should place soda can in the dry/recyclable waste bin.
I need to discard soda can.,You should place soda can in the dry/recyclable waste bin.
Discard soda can.,You should place soda can in the dry/recyclable waste bin.
Where do I throw my paper bag?,You should place paper bag in the dry/recyclable waste bin.
How do I dispose of a paper bag?,You should place paper bag in the dry/recyclable waste bin.
Can I throw away paper bag in the trash?,You should place paper bag in the dry/recyclable waste bin.
Which bin does paper bag go into?,You should place paper bag in the dry/recyclable waste bin.
Is it okay to throw paper bag here?,You should place paper bag in the dry/recyclable waste bin.
Tell me how to get rid of paper bag.,You should place paper bag in the dry/recyclable waste bin.
What to do with old paper bag?,You should place paper bag in the dry/recyclable waste bin.
Help me dispose of paper bag.,You should place paper bag in the dry/recyclable waste bin.
Where does paper bag belong?,You should place paper bag in the dry/recyclable waste bin.
"I have a paper bag, where does it go?",You should place paper bag in the dry/recyclable waste bin.
Where should I put my paper bag?,You should place paper bag in the dry/recyclable waste bin.
Can you tell me where to throw paper bag?,You should place paper bag in the dry/recyclable waste bin.
paper bag disposal method?,You should place paper bag in the dry/recyclable waste bin.
How should I throw away paper bag?,You should place paper bag in the dry/recyclable waste bin.
"Throwing out paper bag, which bin?",You should place paper bag in the dry/recyclable waste bin.
I need to discard paper bag.,You should place paper bag in the dry/recyclable waste bin.
Discard paper bag.,You should place paper bag in the dry/recyclable waste bin.
Where do I throw my pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
How do I dispose of a pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
Can I throw away pizza box (clean) in the trash?,You should place pizza box (clean) in the dry/recyclable waste bin.
Which bin does pizza box (clean) go into?,You should place pizza box (clean) in the dry/recyclable waste bin.
Is it okay to throw pizza box (clean) here?,You should place pizza box (clean) in the dry/recyclable waste bin.
Tell me how to get rid of pizza box (clean).,You should place pizza box (clean) in the dry/recyclable waste bin.
What to do with old pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
Help me dispose of pizza box (clean).,You should place pizza box (clean) in the dry/recyclable waste bin.
Where does pizza box (clean) belong?,You should place pizza box (clean) in the dry/recyclable waste bin.
"I have a pizza box (clean), where does it go?",You should place pizza box (clean) in the dry/recyclable waste bin.
Where should I put my pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
Can you tell me where to throw pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
pizza box (clean) disposal method?,You should place pizza box (clean) in the dry/recyclable waste bin.
How should I throw away pizza box (clean)?,You should place pizza box (clean) in the dry/recyclable waste bin.
"Throwing out pizza box (clean), which bin?",You should place pizza box (clean) in the dry/recyclable waste bin.
I need to discard pizza box (clean).,You should place pizza box (clean) in the dry/recyclable waste bin.
Discard pizza box (clean).,You should place pizza box (clean) in the dry/recyclable waste bin.
Where do I throw my junk mail?,You should place junk mail in the dry/recyclable waste bin.
How do I dispose of a junk mail?,You should place junk mail in the dry/recyclable waste bin.
Can I throw away junk mail in the trash?,You should place junk mail in the dry/recyclable waste bin.
Which bin does junk mail go into?,You should place junk mail in the dry/recyclable waste bin.
Is it okay to throw junk mail here?,You should place junk mail in the dry/recyclable waste bin.
Tell me how to get rid of junk mail.,You should place junk mail in the dry/recyclable waste bin.
What to do with old junk mail?,You should place junk mail in the dry/recyclable waste bin.
Help me dispose of junk mail.,You should place junk mail in the dry/recyclable waste bin.
Where does junk mail belong?,You should place junk mail in the dry/recyclable waste bin.
"I have a junk mail, where does it go?",You should place junk mail in the dry/recyclable waste bin.
Where should I put my junk mail?,You should place junk mail in the dry/recyclable waste bin.
Can you tell me where to throw junk mail?,You should place junk mail in the dry/recyclable waste bin.
junk mail disposal method?,You should place junk mail in the dry/recyclable waste bin.
How should I throw away junk mail?,You should place junk mail in the dry/recyclable waste bin.
"Throwing out junk mail, which bin?",You should place junk mail in the dry/recyclable waste bin.
I need to discard junk mail.,You should place junk mail in the dry/recyclable waste bin.
Discard junk mail.,You should place junk mail in the dry/recyclable waste bin.
Where do I throw my office paper?,You should place office paper in the dry/recyclable waste bin.
How do I dispose of a office paper?,You should place office paper in the dry/recyclable waste bin.
Can I throw away office paper in the trash?,You should place office paper in the dry/recyclable waste bin.
Which bin does office paper go into?,You should place office paper in the dry/recyclable waste bin.
Is it okay to throw office paper here?,You should place office paper in the dry/recyclable waste bin.
Tell me how to get rid of office paper.,You should place office paper in the dry/recyclable waste bin.
What to do with old office paper?,You should place office paper in the dry/recyclable waste bin.
Help me dispose of office paper.,You should place office paper in the dry/recyclable waste bin.
Where does office paper belong?,You should place office paper in the dry/recyclable waste bin.
"I have a office paper, where does it go?",You should place office paper in the dry/recyclable waste bin.
Where should I put my office paper?,You should place office paper in the dry/recyclable waste bin.
Can you tell me where to throw office paper?,You should place office paper in the dry/recyclable waste bin.
office paper disposal method?,You should place office paper in the dry/recyclable waste bin.
How should I throw away office paper?,You should place office paper in the dry/recyclable waste bin.
"Throwing out office paper, which bin?",You should place office paper in the dry/recyclable waste bin.
I need to discard office paper.,You should place office paper in the dry/recyclable waste bin.
Discard office paper.,You should place office paper in the dry/recyclable waste bin.
Where do I throw my detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
How do I dispose of a detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
Can I throw away detergent bottle in the trash?,You should place detergent bottle in the dry/recyclable waste bin.
Which bin does detergent bottle go into?,You should place detergent bottle in the dry/recyclable waste bin.
Is it okay to throw detergent bottle here?,You should place detergent bottle in the dry/recyclable waste bin.
Tell me how to get rid of detergent bottle.,You should place detergent bottle in the dry/recyclable waste bin.
What to do with old detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
Help me dispose of detergent bottle.,You should place detergent bottle in the dry/recyclable waste bin.
Where does detergent bottle belong?,You should place detergent bottle in the dry/recyclable waste bin.
"I have a detergent bottle, where does it go?",You should place detergent bottle in the dry/recyclable waste bin.
Where should I put my detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
Can you tell me where to throw detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
detergent bottle disposal method?,You should place detergent bottle in the dry/recyclable waste bin.
How should I throw away detergent bottle?,You should place detergent bottle in the dry/recyclable waste bin.
"Throwing out detergent bottle, which bin?",You should place detergent bottle in the dry/recyclable waste bin.
I need to discard detergent bottle.,You should place detergent bottle in the dry/recyclable waste bin.
Discard detergent bottle.,You should place detergent bottle in the dry/recyclable waste bin.
Where do I throw my broken glass?,You should place broken glass in the dry/recyclable waste bin.
How do I dispose of a broken glass?,You should place broken glass in the dry/recyclable waste bin.
Can I throw away broken glass in the trash?,You should place broken glass in the dry/recyclable waste bin.
Which bin does broken glass go into?,You should place broken glass in the dry/recyclable waste bin.
Is it okay to throw broken glass here?,You should place broken glass in the dry/recyclable waste bin.
Tell me how to get rid of broken glass.,You should place broken glass in the dry/recyclable waste bin.
What to do with old broken glass?,You should place broken glass in the dry/recyclable waste bin.
Help me dispose of broken glass.,You should place broken glass in the dry/recyclable waste bin.
Where does broken glass belong?,You should place broken glass in the dry/recyclable waste bin.
"I have a broken glass, where does it go?",You should place broken glass in the dry/recyclable waste bin.
Where should I put my broken glass?,You should place broken glass in the dry/recyclable waste bin.
Can you tell me where to throw broken glass?,You should place broken glass in the dry/recyclable waste bin.
broken glass disposal method?,You should place broken glass in the dry/recyclable waste bin.
How should I throw away broken glass?,You should place broken glass in the dry/recyclable waste bin.
"Throwing out broken glass, which bin?",You should place broken glass in the dry/recyclable waste bin.
